ID,AvatarLevel,Gold,Gems,Purchases,VipLevel,TotalPlay,TotalWon,TotalLost,FirstInstallDate,LastSeenDate,Card_score,TotalStars,Overall_progress
usr060084,69,69472,93,{},0,10292,4644,884,2021-11-10,2024-04-11,1.3123104939995816,3214,0.4618680160236136
usr084160,96,1069516,2722,"{'starter_1': 1, 'starter_2': 1, 'prog_27': 1, 'daily_5': 1, 'prog_45': 1, 'prog_68': 1, 'timed_i_3_4': 1, 'clan_1': 4, 'prog_78': 1, 'clan_2': 1, 'gem_sub_1': 1, 'prog_95_2': 1}",6,14817,12373,314,2022-04-12,2024-04-11,1.3125011888707678,2801,0.39852140253585033
usr095440,108,927225,10946,"{'starter_3': 1, 'gem_sub_3': 1, 'gem_sub_1': 2}",9,17943,12529,930,2021-03-31,2024-04-11,1.3125123016838416,5264,0.6878238870688953
usr011863,118,249634,75,{},0,19239,15754,980,2018-01-09,2024-04-12,1.3125493193652282,6279,0.81040041207790126
usr039900,108,44045,91,"{'gem_sub_1': 18, 'starter_1': 1, 'gem_1': 1, 'prog_78': 1, 'timed_n_5_1': 1, 'gem_2': 1, 'timed_k_4_4': 1, 'timed_c_5_4': 1, 'timed_p_4_1': 1}",7,19194,13225,2086,2022-07-18,2024-04-12,1.3126269739009078,5730,0.73779998119877765
usr076574,135,2087951,1528,"{'timed_l_1_1': 1, 'gem_sub_1': 38, 'prog_32': 1, 'daily_7': 1, 'timed_f_1_1': 1, 'prog_75': 1, 'gem_1': 1, 'timed_h_2_6': 1, 'prog_92_1': 1, 'prog_95_2': 1, 'prog_97_1': 1, 'timed_g_2_6': 1, 'timed_f_4_7': 1, 'timed_m_1_1': 1, 'timed_g_3_2': 1, 'timed_f_5_7': 1}",10,26968,17438,2433,2019-06-07,2024-04-12,1.3128772224374705,7129,0.9099051135605758
usr037844,89,6347932,3648,{'gem_sub_1': 1},1,11142,9494,193,2022-02-05,2024-04-11,1.3131148864640931,2576,0.36547852416814636
usr032045,139,624361,2870,{},0,32832,24392,2606,2019-05-25,2024-04-12,1.3131718521455238,1992,0.26620169953503287
usr038144,110,280248,3023,{'gem_sub_1': 6},4,19647,16006,147,2021-09-08,2024-04-12,1.3132576160312841,3507,0.48764606852842135
usr000271,120,2715225,1521,"{'special_4': 1, 'gem_sub_1': 23, 'prog_78': 1, 'timed_q_3_5': 2, 'timed_f_3_7': 2, 'timed_a_3_1': 1, 'timed_g_2_6': 1, 'timed_q_4_5': 2, 'timed_a_4_5': 1, 'gem_2': 1}",9,20749,15671,280,2020-07-01,2024-04-12,1.3135642946317103,5774,0.74725973182113548
usr079197,115,707583,1392,{},0,20659,14987,878,2021-09-28,2024-04-11,1.3136452379593671,5905,0.7642718876168354
usr079567,108,36537776,7727,{},0,15190,12324,2353,2018-06-14,2024-04-10,1.3137808192846352,3174,0.46071659280688559
usr057291,102,22928,3828,"{'starter_1': 1, 'gem_sub_1': 13, 'gem_1': 1, 'gem_2': 1, 'starter_2': 1, 'timed_m_1_3': 1, 'prog_95_2': 1, 'timed_f_5_7': 3, 'timed_i_4_4': 1}",7,16264,12401,176,2022-03-17,2024-04-12,1.3137989551953404,3990,0.54655427737326356
usr068421,127,10678184,10984,"{'gem_sub_1': 16, 'starter_1': 1}",6,25649,21147,291,2022-03-31,2024-04-12,1.313806223575783,4742,0.63505163186319757
usr030668,153,14015614,10482,"{'timed_l_1_1': 10, 'timed_f_1_1': 5, 'gem_2': 1, 'timed_f_1_2': 1, 'starter_1': 1, 'gem_1': 1, 'gem_sub_1': 2}",6,34779,26915,1232,2019-05-02,2024-04-12,1.3143255323387866,5864,0.76736340775415735
usr104911,139,112447,123,"{'starter_1': 1, 'gem_sub_1': 18, 'starter_2': 24, 'prog_10': 1, 'daily_10': 1, 'timed_q_2_2': 1, 'starter_3': 3, 'prog_15': 1, 'daily_9': 4, 'special_5': 1, 'prog_25': 1, 'prog_27': 1, 'gem_1': 2, 'prog_32': 1, 'prog_35': 1, 'special_4': 1, 'prog_40': 1, 'prog_42': 1, 'prog_45': 1, 'prog_47': 1, 'prog_50': 1, 'clan_1': 6, 'prog_55': 1, 'prog_57': 1, 'timed_h_2_1': 5, 'prog_60': 1, 'prog_61': 1, 'prog_63': 1, 'timed_k_2_4': 1, 'prog_70': 1, 'prog_72': 1, 'timed_j_2_4': 1, 'timed_g_2_2': 1, 'prog_75': 1, 'clan_2': 7, 'prog_80': 1, 'prog_81': 1, 'prog_82': 1, 'prog_83': 1, 'prog_85': 1, 'prog_86': 1, 'timed_a_3_2': 4, 'clan_3': 4, 'prog_89': 1, 'timed_i_2_1': 3, 'timed_i_2_2': 3, 'timed_i_2_3': 3, 'prog_90': 1, 'prog_91_1': 1, 'prog_91_2': 1, 'prog_92_2': 1, 'prog_92_1': 1, 'daily_4': 4, 'prog_93_2': 1, 'prog_93_1': 1, 'gem_2': 1, 'timed_h_3_5': 5, 'timed_h_3_4': 5, 'timed_h_3_1': 5, 'timed_h_3_2': 5, 'timed_h_3_6': 5, 'timed_h_3_3': 5, 'prog_94_2': 1, 'prog_94_1': 1, 'daily_1': 3, 'prog_95_1': 1, 'prog_95_2': 1, 'prog_96_1': 1, 'prog_96_2': 1, 'daily_3': 2, 'prog_97_1': 1, 'prog_97_2': 1, 'gem_3': 1, 'timed_n_4_5': 3, 'timed_n_4_3': 5, 'timed_n_4_1': 5, 'timed_n_4_2': 5, 'prog_98_1': 1, 'timed_n_4_4': 1, 'prog_98_2': 1, 'timed_b_1_1': 10, 'timed_b_1_5': 1, 'timed_k_3_4': 3, 'gem_5': 3, 'gem_sub_3': 1, 'timed_b_2_3': 1, 'timed_j_4_4': 1}",18,29204,22704,118,2019-05-05,2024-04-12,1.314347477641721,6845,0.86934050724666967
usr074159,86,15804,3537,{'gem_sub_1': 1},1,11162,7798,988,2018-06-15,2024-04-12,1.3150266557340613,4750,0.62200655814596517
usr108135,63,5800,869,"{'gem_1': 1, 'gem_sub_1': 3, 'timed_g_3_2': 1}",3,4788,3478,43,2018-03-25,2024-04-10,1.3150438055077502,1584,0.25844155844155842
usr108134,138,5334259,3484,{},0,28123,18503,875,2018-07-18,2024-04-12,1.3150480103559403,6036,0.78527614511354349
usr019546,126,143846,1837,{},0,23828,19267,299,2018-11-12,2024-04-10,1.3152139066343493,3858,0.534743275300551
usr093352,105,738246,2403,{},0,18366,13793,130,2020-12-01,2024-02-03,1.31544548364264,4093,0.566602318187684
usr080880,114,1283374,3155,"{'starter_1': 1, 'starter_2': 1, 'starter_3': 1, 'prog_52': 1, 'prog_55': 1, 'prog_57': 1, 'prog_61': 1, 'prog_70': 1, 'timed_a_5_5': 1}",8,19829,14917,496,2022-01-09,2024-04-11,1.3155867865649093,6316,0.81696191975412746
usr109401,83,2146340,1024,"{'prog_10': 1, 'starter_1': 1, 'prog_15': 1}",3,10079,7933,161,2022-03-02,2024-04-12,1.3156501796571445,3526,0.48592345336625348
usr058828,125,3572476,7618,{},0,23468,18815,344,2021-02-27,2024-04-12,1.3156706132170393,5180,0.68400833734167077
usr077204,109,7161883,33698,"{'gem_sub_1': 14, 'prog_47': 1, 'timed_j_3_4': 5, 'prog_55': 1, 'starter_1': 1, 'timed_g_2_6': 5, 'timed_g_2_7': 1, 'prog_61': 1, 'prog_63': 1, 'timed_q_4_5': 1, 'timed_f_4_7': 4, 'prog_68': 1, 'timed_a_4_5': 5, 'prog_75': 1, 'starter_2': 1, 'prog_78': 1, 'timed_m_1_14': 1}",11,19351,16196,90,2018-01-19,2024-04-12,1.3156861611437989,3279,0.47324639424576176
usr039105,126,6499779,3788,"{'gem_sub_1': 13, 'timed_f_4_7': 1, 'timed_m_1_1': 1, 'timed_m_1_13': 1}",5,23213,18277,474,2021-11-27,2024-04-12,1.3158343269790069,5698,0.73803692649986607
usr070781,186,228791200,13090,{},0,42369,33265,832,2020-04-12,2024-04-12,1.315867870654865,7890,1.0
usr064192,103,201539,1259,{},0,14050,12862,23,2019-12-26,2024-03-09,1.3160403995807166,4798,0.62720196545399787
usr051167,124,19068864,4459,"{'gem_sub_1': 20, 'special_4': 1}",7,24693,17239,204,2020-07-20,2024-04-12,1.3161694083278019,3563,0.49965976001963575
usr067552,116,115475816,91212,{},0,19970,15285,1806,2018-08-25,2024-04-11,1.3162119173406939,3278,0.47609067999959842
usr041306,87,177878,3446,"{'gem_1': 1, 'starter_1': 1}",1,12032,8694,76,2022-01-02,2024-04-12,1.3164179599077737,3320,0.46747204712116985
usr000338,146,2929705,8113,{},0,33664,24211,2113,2018-11-15,2024-04-11,1.3167822899803474,5361,0.70487974987974988
usr041518,124,15091063,836,{},0,27982,22173,391,2020-03-24,2024-04-12,1.3170781010505113,1731,0.22510822510822509
usr026133,82,224500,1651,{'gem_sub_1': 1},1,9998,6951,378,2022-01-28,2024-04-11,1.317114553079701,4267,0.57993204919316832
usr005322,139,25786720,10572,"{'timed_e_0_2': 1, 'timed_i_1_4': 1, 'timed_k_0_3': 5, 'starter_1': 1, 'prog_75': 1, 'prog_32': 1, 'timed_p_1_1': 5, 'prog_64': 1, 'gem_1': 2, 'gem_3': 2, 'gem_sub_1': 57, 'special_3': 1, 'timed_e_0_1': 3, 'timed_c_1_3': 1, 'timed_l_1_1': 11, 'timed_c_1_4': 4, 'timed_h_1_1': 2, 'prog_47': 1, 'prog_78': 1, 'timed_c_1_5': 5, 'prog_61': 1, 'starter_2': 1, 'gem_2': 2, 'timed_f_1_1': 5, 'prog_66': 1, 'prog_55': 1, 'timed_h_1_6': 1, 'timed_j_1_4': 1, 'timed_g_1_2': 1, 'timed_q_2_5': 3, 'prog_92_1': 1, 'special_4': 1, 'timed_f_2_7': 4, 'prog_95_2': 1, 'timed_f_2_1': 1, 'timed_a_2_1': 2, 'prog_99_1': 1, 'timed_h_2_6': 1, 'timed_h_2_2': 1, 'timed_n_3_1': 5, 'timed_k_2_4': 1, 'timed_k_2_2': 1, 'timed_j_2_4': 1, 'timed_g_2_2': 1, 'timed_c_3_2': 2, 'timed_c_3_6': 2, 'timed_c_3_4': 1, 'timed_c_3_1': 1, 'timed_q_3_5': 3, 'timed_f_3_1': 3, 'timed_f_3_7': 2, 'timed_f_3_4': 2, 'timed_p_2_1': 1, 'timed_a_3_1': 3, 'timed_i_2_4': 3, 'timed_h_3_1': 3, 'timed_h_3_6': 2, 'timed_h_3_2': 1, 'timed_n_4_1': 5, 'timed_b_1_1': 3, 'timed_b_1_2': 1, 'timed_k_3_2': 3, 'timed_k_3_4': 2, 'timed_e_1_1': 4, 'timed_j_3_4': 5, 'timed_g_2_6': 5, 'timed_c_4_6': 2, 'timed_q_4_5': 3, 'timed_f_4_7': 1, 'timed_f_4_1': 2, 'timed_i_3_4': 1, 'timed_n_5_1': 3, 'timed_m_1_5': 2, 'timed_m_1_9': 1, 'timed_g_3_2': 5, 'timed_b_2_10': 1, 'timed_c_5_6': 1, 'timed_m_1_13': 1, 'timed_q_5_5': 3, 'gem_4': 1, 'timed_m_2_1': 1, 'timed_f_5_7': 1, 'timed_p_4_1': 1, 'timed_i_4_4': 1}",14,26081,15102,5959,2019-04-01,2024-04-11,1.3171917671074751,7465,0.936274043553271
usr007384,117,48776,8051,"{'starter_3': 1, 'gem_sub_1': 15, 'gem_1': 2, 'starter_1': 1, 'timed_f_3_1': 1}",8,22161,17197,746,2022-01-03,2024-04-12,1.3172173816410322,4298,0.57256265600598455
usr055965,131,2660120,2298,{},0,25545,25418,90,2019-01-04,2024-04-11,1.3174484280375272,4471,0.60407575664956914
