ID,AvatarLevel,Gold,Gems,Purchases,TotalPlay,TotalWon,TotalLost,FirstInstallDate,VipLevel,LastSeenDate,Cards_collected,Card_score,Overall_progress,TotalStars
usr100900,106,76914,10773,"{'starter_1': 1, 'prog_s_1': 1, 'prog_s_4': 1, 'timed_q_3_5': 1, 'prog_10': 1, 'gem_1': 1, 'starter_2': 1, 'special_5': 1, 'prog_25': 1, 'gem_sub_1': 6, 'prog_30': 1, 'prog_32': 1, 'prog_35': 1, 'timed_p_2_1': 1, 'prog_40': 1, 'timed_h_3_1': 1, 'prog_57': 1, 'prog_61': 1, 'prog_62': 1, 'prog_64': 1, 'prog_68': 1, 'prog_75': 1}",16675,11934,49,2021-12-22 00:00:00+00:00,9,2024-04-12 07:45:20.074000+00:00,0.7990709538097427,1.5106540991763504,0.7026747062461347,5355.0
usr100910,51,54404,71,"{'starter_1': 1, 'gem_sub_1': 5, 'daily_6': 1, 'daily_9': 1}",3580,2656,140,2022-03-19 00:00:00+00:00,4,2024-04-12 03:24:18.489000+00:00,0.507494766465735,0.5375142489290151,0.3112225900461194,2168.0
usr100915,121,1207125,1585,{},20844,15678,1395,2022-01-25 00:00:00+00:00,0,2024-04-11 18:17:28.535000+00:00,0.7388796782690443,0.9606871823212164,0.7605929194903016,5932.0
usr100920,68,4684238,1139,{'gem_sub_1': 1},7959,7755,169,2021-11-04 00:00:00+00:00,1,2024-04-11 16:14:28.053000+00:00,0.4555322286596446,1.244265683332883,0.23878826984518042,1594.0
usr100928,186,4198491,760,{},53763,43702,2363,2018-01-13 14:04:11+00:00,0,2024-04-11 23:19:36.973000+00:00,0.9570546089641356,1.5784527910681014,1.0,7890.0
usr100935,29,2294728,475,"{'starter_1': 1, 'prog_s_1': 1, 'timed_p_4_1': 1, 'prog_15': 1, 'daily_9': 2, 'daily_10': 1, 'prog_27': 1}",917,616,67,2024-02-19 00:00:00+00:00,3,2024-04-11 21:45:53.823000+00:00,0.3136797978068713,0.1430195615544723,0.20948212281545614,1493.0
usr100944,33,7320276,2522,{},1174,762,39,2019-11-10 09:47:12+00:00,0,2024-04-11 08:31:22.186000+00:00,0.5042604122553305,0.4380444752799979,0.24515632515632516,1749.0
usr100947,159,23539856,15586,{'gem_sub_1': 1},39391,28771,2899,2019-08-14 16:51:29+00:00,1,2024-04-12 00:53:22.876000+00:00,0.8908669195582506,1.6882495767620065,1.0,7890.0
usr100948,26,3387653,2,{'gem_1': 1},876,587,11,2021-06-23 00:00:00+00:00,1,2024-04-12 05:54:06.326000+00:00,0.5297395396892618,0.4655673041016292,0.11129068462401795,731.0
usr100949,71,996713,6897,{'gem_sub_1': 1},6551,6133,369,2021-11-27 00:00:00+00:00,1,2024-02-25 10:17:33.082000+00:00,0.5617140312780636,0.871356544095342,0.3809670847069221,2713.0
usr100961,52,1388493,3602,"{'gem_sub_1': 4, 'starter_1': 1, 'gem_1': 1, 'gem_2': 1, 'starter_2': 1, 'prog_27': 1, 'starter_3': 1, 'timed_m_2_1': 1, 'prog_45': 1, 'prog_50': 1}",3143,2668,81,,8,2024-04-12 03:46:28.512000+00:00,0.5134044553370035,0.2736091813861382,0.3346384479717813,2405.0
